,plz,num_hochschulen
0,01069,1
1,01139,1
2,01187,2
3,01189,1
4,01217,1
5,01219,1
6,01237,1
7,01307,3
8,01326,1
9,01328,2
10,01737,1
11,01796,1
12,01968,1
13,02763,7
14,02826,2
15,02977,1
16,04103,16
17,04105,2
18,04107,6
19,04109,7
20,04155,1
21,04277,1
22,04317,2
23,04319,1
24,04463,1
25,06108,11
26,06110,2
27,06114,2
28,06120,1
29,06217,1
30,07743,1
31,07745,1
32,07985,1
33,08056,1
34,08289,1
35,09111,1
36,09120,1
37,09599,3
38,09648,2
39,10115,1
40,10117,6
41,10178,1
42,10367,1
43,10587,1
44,10623,2
45,10625,1
46,10719,1
47,10783,1
48,10789,1
49,10823,1
50,10963,2
51,12169,1
52,12203,1
53,12249,1
54,12435,1
55,12524,1
56,12627,1
57,13347,2
58,13355,1
59,14129,1
60,14195,21
61,14197,1
62,14467,1
63,14469,2
64,14476,1
65,14482,6
66,14542,2
67,14641,1
68,14770,1
69,14974,2
70,16540,1
71,17489,13
72,17491,1
73,18055,13
74,18057,3
75,18059,2
76,18119,1
77,18374,1
78,18556,1
79,18565,2
80,20099,4
81,20144,3
82,20146,11
83,20148,6
84,20259,1
85,20354,3
86,20355,1
87,20457,2
88,21029,1
89,21129,1
90,21335,1
91,22043,1
92,22085,1
93,22087,1
94,22297,1
95,22761,1
96,22767,1
97,24105,1
98,24106,1
99,24161,1
100,25746,1
101,26121,6
102,26129,1
103,26135,1
104,26723,1
105,26789,1
106,26931,2
107,27753,1
108,28199,1
109,28359,2
110,28759,1
111,28870,2
112,29478,1
113,30159,1
114,30161,1
115,30167,8
116,30173,1
117,30175,1
118,30419,2
119,30449,1
120,30539,1
121,30823,1
122,31141,2
123,32049,1
124,32657,1
125,32756,2
126,33098,3
127,33102,2
128,33332,1
129,33615,7
130,34109,1
131,34117,2
132,34119,1
133,34121,3
134,34394,1
135,34613,1
136,35032,1
137,35037,24
138,35039,1
139,35043,1
140,35085,2
141,35390,4
142,35394,3
143,35398,2
144,35578,1
145,37073,3
146,37075,1
147,37077,3
148,37085,4
149,37242,1
150,38102,1
151,38106,4
152,38108,4
153,38229,1
154,38302,12
155,38350,1
156,38440,1
157,38640,4
158,38855,1
159,39106,1
160,39114,1
161,40223,1
162,40225,1
163,40231,1
164,40237,1
165,40476,1
166,41460,1
167,42285,1
168,44139,2
169,44227,2
170,44787,9
171,44795,2
172,44801,3
173,45147,1
174,45239,1
175,45257,2
176,45479,1
177,45897,2
178,46514,1
179,47057,3
180,47475,1
181,47533,1
182,47805,1
183,48143,24
184,48149,67
185,48151,6
186,48155,1
187,48161,1
188,48165,1
189,48493,1
190,48565,3
191,49074,9
192,49076,7
193,49078,7
194,49080,1
195,49088,1
196,49090,2
197,49134,1
198,49377,2
199,50667,1
200,50668,1
201,50670,1
202,50674,8
203,50676,2
204,50678,2
205,50679,2
206,50823,1
207,50827,1
208,50931,11
209,50933,3
210,50935,1
211,50937,2
212,50939,2
213,50969,1
214,51063,1
215,51373,1
216,51469,1
217,51643,1
218,52064,3
219,52428,2
220,52441,1
221,52457,1
222,53111,4
223,53113,13
224,53115,7
225,53117,1
226,53121,1
227,53175,1
228,53604,2
229,53757,1
230,53879,1
231,54290,3
232,54293,1
233,54296,1
234,55116,1
235,55122,1
236,55128,1
237,55131,1
238,55411,2
239,56070,2
240,56075,1
241,57076,2
242,57078,1
243,57200,1
244,57800,3
245,58093,1
246,58453,2
247,58455,1
248,58513,1
249,58644,1
250,59427,1
251,59557,1
252,59872,4
253,60322,2
254,60325,2
255,60436,1
256,60438,26
257,60594,1
258,60596,2
259,61440,1
260,63743,1
261,64287,13
262,64293,4
263,64295,1
264,65183,2
265,65189,1
266,65366,2
267,65375,1
268,65428,1
269,65606,1
270,66111,2
271,66117,4
272,66123,1
273,66125,19
274,66424,1
275,66482,2
276,67059,1
277,67549,8
278,67657,1
279,67659,1
280,67663,1
281,68159,4
282,68161,20
283,68163,1
284,69-100,1
285,69115,3
286,69117,18
287,69120,12
288,69121,1
289,70178,1
290,70180,1
291,70182,1
292,70190,1
293,70191,2
294,70197,1
295,70376,1
296,70599,2
297,71634,2
298,71638,2
299,72070,1
300,72072,1
301,72074,1
302,72076,7
303,72108,1
304,72622,3
305,73525,5
306,74081,2
307,76131,1
308,76133,10
309,76135,1
310,76829,2
311,77652,1
312,77694,1
313,77723,1
314,78054,1
315,78120,6
316,78462,1
317,78464,1
318,78532,3
319,79098,6
320,79104,4
321,79106,2
322,79110,1
323,79115,1
324,79539,1
325,79809,1
326,80333,14
327,80335,7
328,80336,2
329,80337,1
330,80339,1
331,80538,2
332,80539,2
333,80797,2
334,80798,1
335,80799,1
336,80802,4
337,81243,1
338,81245,2
339,81377,3
340,81673,1
341,81675,1
342,82152,1
343,82393,1
344,82432,1
345,84036,1
346,85049,1
347,85072,1
348,85354,3
349,85579,5
350,85737,1
351,85748,1
352,86150,1
353,86161,1
354,88045,5
355,88069,1
356,88250,12
357,89075,1
358,89077,1
359,89081,1
360,89518,1
361,90402,2
362,90429,4
363,90478,2
364,90480,1
365,90489,4
366,90762,2
367,90763,1
368,91052,13
369,91054,9
370,91058,6
371,91567,1
372,92224,3
373,93047,5
374,93053,1
375,93059,2
376,93444,1
377,94315,2
378,95444,1
379,95447,3
380,95448,1
381,96047,2
382,96052,1
383,96450,1
384,97070,3
385,97072,3
386,97074,36
387,97265,1
388,97421,1
389,97980,1
390,98574,1
391,99085,1
392,99089,2
393,99425,1
394,99734,1
395,99817,1
